Дата находки,Источник,Компания,Телефон,Email,Сайт,Ниша,Сложность (оценка),Проблема,Черновик сообщения,Место (Place ID)
2026-08-04,Google Maps: hair salon in Lisbon,Hair & Company,21 346 8268,—,http://www.hairandcompany.pt/,hair salon,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Hair & Company's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJsfFYuXg0GQ0RW4HJn7yHIlk
2026-08-04,Google Maps: hair salon in Lisbon,HAIR CONCEPT Lisbon | Blonde & Color Hair Specialists,910 099 310,—,https://www.hairconceptlisbon.com/,hair salon,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out HAIR CONCEPT Lisbon | Blonde & Color Hair Specialists's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJy7qIrVMzGQ0RZhbqscJLbPc
2026-08-04,Google Maps: hair salon in Lisbon,Cabeleireiro Studio Fio de Ouro,930 440 140,—,http://www.studiofiodeouro.pt/,hair salon,Средняя,нет HTTPS,"Hi! Checked out Cabeleireiro Studio Fio de Ouro's website — noticed it scores 58/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJx3QFdCQzGQ0RccyiTCuB5O4
2026-08-04,Google Maps: hair salon in Lisbon,Cut&Shout Hair Salon Lisbon,926 083 563,—,https://cutandshout.pt/,hair salon,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Cut&Shout Hair Salon Lisbon's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJq06Ds341GQ0RVhc74VN5xyM
2026-08-04,Google Maps: dentist in Lisbon,CDL - Dental Clinic Lisbon,21 354 0059,—,https://dentistalisboa.com/?utm_source=Google&utm_medium=Organic_Local&utm_campaign=GMB,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out CDL - Dental Clinic Lisbon's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJPy04-ZkzGQ0RvdLuGmOMygg
2026-08-04,Google Maps: dentist in Lisbon,The Lisbon Smile Clinic,21 359 0020,—,http://lisbonsmile.com/,dentist,Средняя,нет HTTPS,"Hi! Checked out The Lisbon Smile Clinic's website — noticed it scores 56/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJm_YvNXMzGQ0RGhiGnXtJYpQ
2026-08-04,Google Maps: dentist in Lisbon,DentalCare Lisboa,913 913 800,—,http://www.dentalcarelisboa.com/,dentist,Средняя,нет HTTPS,"Hi! Checked out DentalCare Lisboa's website — noticed it scores 57/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJAXsLE00zGQ0RBAOaaBJcT4k
2026-08-04,Google Maps: dentist in Lisbon,Clinica Mint - Clinica Dentária Lisboa,21 155 2308,—,https://mint.pt/,dentist,Средняя,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out Clinica Mint - Clinica Dentária Lisboa's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJTQ7tDgszGQ0RFaw7owisAVA
2026-08-04,Google Maps: plumber in Lisbon,Canalizador 24 Horas - Desentupimentos - Detecção Fugas - Torneiras - Autoclismos,964 783 005,email@exemplo.com,http://canalizadordesentop.net/,plumber,Низкая,нет HTTPS,"Hi! Checked out Canalizador 24 Horas - Desentupimentos - Detecção Fugas - Torneiras - Autoclismos's website — noticed it scores 72/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJWWHt5YYtGQ0RFXqzULRddEc
2026-08-04,Google Maps: electrician in Lisbon,Marcio Lisboa - Eletricista,964 446 287,—,https://wa.me/+351964446287,electrician,Низкая,Вместо сайта — страница WhatsApp (своего домена/сайта нет).,"Hi! Noticed Marcio Lisboa - Eletricista runs on a WhatsApp page instead of its own website — happy to put together a simple site so people can find/book you directly (and own the domain/branding). No pressure, just let me know if useful.",ChIJLc1QLxAzGQ0Rx-HU4J7h5C4
2026-08-04,Google Maps: electrician in Lisbon,Jorge Mendes eletricista,967 382 231,—,http://www.jorgeeletricista.pt/,electrician,Низкая,нет HTTPS,"Hi! Checked out Jorge Mendes eletricista's website — noticed it scores 98/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJ--QXUxwzGQ0Rmw-p2a79Tt8
2026-08-04,Google Maps: electrician in Lisbon,HS ELETRICA / Eletricista especializado/ Eletricista Lisboa,929 162 691,eletricahelbert@gmail.com,https://hseletrica.com/,electrician,Низкая,"Сайт не отвечает нормально (ошибка/таймаут при проверке) — вероятно, серьёзные проблемы.",Hi! Tried to check out HS ELETRICA / Eletricista especializado/ Eletricista Lisboa's website and it seems to be having issues loading — wanted to flag it in case that's costing you visitors. Happy to take a look if useful.,ChIJafiXsVUzGQ0RFfQkC1Dz9oU
2026-08-04,Google Maps: electrician in Lisbon,ELETRICISTA LUCAS EM LISBOA e Handy Man SERVIÇOS EM GERAL: Tomadas Iluminação Disjuntor Aquecedor Pladur Pintura etc..,964 446 287,—,"https://api.whatsapp.com/send?phone=351964446287&text=Ola,%20Tudo%20bem?%20Eu%20Gostaria%20de%20um%20Or%C3%A7amento%20de%20Servi%C3%A7os,%20Poderia%20me%20Ajudar?",electrician,Низкая,Вместо сайта — страница WhatsApp (своего домена/сайта нет).,"Hi! Noticed ELETRICISTA LUCAS EM LISBOA e Handy Man SERVIÇOS EM GERAL: Tomadas Iluminação Disjuntor Aquecedor Pladur Pintura etc.. runs on a WhatsApp page instead of its own website — happy to put together a simple site so people can find/book you directly (and own the domain/branding). No pressure, just let me know if useful.",ChIJd6zZ6sPphkkRgkxGHgLAfWE
2026-08-04,Google Maps: auto repair shop in Lisbon,Lisbon Auto Repair Center,(410) 489-5400,—,https://lisbonautorepaircenter.com/?utm_source=GMB&utm_medium=gmb&utm_campaign=google_my_business,auto repair shop,Низкая,мобильная скорость 44/100 (Google PageSpeed),"Hi! Checked out Lisbon Auto Repair Center's website — noticed it scores 44/100 on Google's mobile speed test, which is probably costing you visitors. Happy to send a quick fix plan if useful, no pressure.",ChIJz67KNjIpyIkRPsJmToHVKEY
2026-08-04,Google Maps: auto repair shop in Lisbon,Auto Arroios,21 194 5594,—,(нет сайта),auto repair shop,Низкая,Сайта нет вообще — самый простой питч: помочь появиться онлайн.,"Hi! I noticed Auto Arroios doesn't have a website yet — happy to put together a simple one so people can find/book you online. No pressure, just let me know if useful.",ChIJw2dEIJozGQ0RoIAKoRvGxjM
